Ticker,Company Name,Theme,Sub Theme,Assignment,Market Cap,1W Price Change %,1M Price Change %,3M Price Change %,Sub Market Cap
A,"Agilent Technologies, Inc.",Nanotechnology,NanoTech - Research Tools & Advanced Instruments,Primary,43333.5311,0.0335,0.1072,0.3372,43333.5311
AA,Alcoa Corp,Commodities - Metals,Comm Metals - Industrial & Base Metals,Primary,13034.4873,-0.0449,0.1186,-0.3067,13034.4873
AAL,American Airlines Group Inc.,Transportation & Logistics,Transportation - Air Travel & Passenger Transportation,Primary,9022.6505,-0.0554,-0.0587,-0.0159,9022.6505
AAON,"AAON, Inc.",Industrials & Construction,Industrials - Building Products & HVAC,Primary,6274.7218,-0.1361,-0.2588,-0.4342,3764.8331
AAON,"AAON, Inc.",Cloud Computing,Cloud - Data Centers & Infrastructure,Secondary,6274.7218,-0.1361,-0.2588,-0.4342,2509.8887
AAPL,Apple Inc.,Hardware,"Hardware - Consumer Electronics, PCs & Peripherals",Primary,4529157.7678,0.0155,-0.0673,0.0058,2717494.6607
AAPL,Apple Inc.,Hardware,Hardware - Next-Gen & Specialty,Secondary,4529157.7678,0.0155,-0.0673,0.0058,1811663.1071
ABAT,American Battery Technology Co,Commodities - Metals,Comm Metals - Recycling & Circular Materials,Primary,327.3946,-0.0123,0.086,-0.257,196.4368
ABAT,American Battery Technology Co,Electric Vehicles & Mobility,EVs - Batteries & Materials,Secondary,327.3946,-0.0123,0.086,-0.257,130.9578
ABBV,Abbvie Inc.,Healthcare & Biotech,Healthcare - Oncology & Precision Cancer Therapeutics,Primary,467437.8448,0.0567,0.0199,0.2351,467437.8448
ABNB,"Airbnb, Inc.",Consumer Goods & Retail,Consumer - Resale & Sharing Platforms,Primary,112145.0965,0.0609,0.3481,0.4372,112145.0965
ABT,Abbott Laboratories,Healthcare & Biotech,"Healthcare - Digital Health, Telemedicine & Remote Care",Primary,201883.816,0.0571,0.1321,0.3443,121130.2896
ABT,Abbott Laboratories,Healthcare & Biotech,Healthcare - Medical Devices & HealthTech Hardware,Secondary,201883.816,0.0571,0.1321,0.3443,80753.5264
ACA,"Arcosa, Inc.",Industrials & Construction,Industrials - Construction Materials & Aggregates,Primary,7133.7464,0.0018,0.0019,0.2035,4280.2478
ACA,"Arcosa, Inc.",Energy - Renewable,Energy Clean - Wind,Secondary,7133.7464,0.0018,0.0019,0.2035,2853.4986
ACGL,Arch Capital Group Ltd.,Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary,34511.9136,0.034,-0.0215,0.0503,34511.9136
ACHR,Archer Aviation Inc.,Transportation & Logistics,Transportation - Air Travel & Passenger Transportation,Primary,4674.0628,-0.0501,0.2725,-0.0456,4674.0628
