Ticker,Company Name,Theme,Sub Theme,Assignment
A,"Agilent Technologies, Inc.",Nanotechnology,NanoTech - Research Tools & Advanced Instruments,Primary
AA,Alcoa Corp,Commodities - Metals,Comm Metals - Industrial & Base Metals,Primary
AAL,American Airlines Group Inc.,Transportation & Logistics,Transportation - Air Travel & Passenger Transportation,Primary
AAON,"AAON, Inc.",Industrials & Construction,Industrials - Building Products & HVAC,Primary
AAON,"AAON, Inc.",Cloud Computing,Cloud - Data Centers & Infrastructure,Secondary
AAPL,Apple Inc.,Hardware,"Hardware - Consumer Electronics, PCs & Peripherals",Primary
AAPL,Apple Inc.,Hardware,Hardware - Next-Gen & Specialty,Secondary
ABAT,American Battery Technology Co,Commodities - Metals,Comm Metals - Recycling & Circular Materials,Primary
ABAT,American Battery Technology Co,Electric Vehicles & Mobility,EVs - Batteries & Materials,Secondary
ABBV,Abbvie Inc.,Healthcare & Biotech,Healthcare - Oncology & Precision Cancer Therapeutics,Primary
ABNB,"Airbnb, Inc.",Consumer Goods & Retail,Consumer - Resale & Sharing Platforms,Primary
ABT,Abbott Laboratories,Healthcare & Biotech,"Healthcare - Digital Health, Telemedicine & Remote Care",Primary
ABT,Abbott Laboratories,Healthcare & Biotech,Healthcare - Medical Devices & HealthTech Hardware,Secondary
ACA,"Arcosa, Inc.",Industrials & Construction,Industrials - Construction Materials & Aggregates,Primary
ACA,"Arcosa, Inc.",Energy - Renewable,Energy Clean - Wind,Secondary
ACGL,Arch Capital Group Ltd.,Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary
ACHR,Archer Aviation Inc.,Transportation & Logistics,Transportation - Air Travel & Passenger Transportation,Primary
ACI,"Albertsons Companies, Inc.",E-commerce,E-commerce - Grocery & Local Commerce Platforms,Primary
ACI,"Albertsons Companies, Inc.",Consumer Goods & Retail,"Consumer - Health, Food & Beverages",Secondary
ACIW,"Aci Worldwide, Inc.",FinTech & Digital Finance,FinTech - Digital Payments & Merchant Infrastructure,Primary
ACLS,Axcelis Technologies Inc,Semiconductors,"Semis - Equipment, Lithography & Deposition",Primary
ACM,Aecom,Business Services & Consulting,Consulting,Primary
ACN,Accenture Plc,Business Services & Consulting,Consulting,Primary
ADBE,Adobe Inc.,Cloud Computing,Cloud - Horizontal SaaS & Cloud Applications,Primary
ADBE,Adobe Inc.,E-commerce,E-commerce - Platforms,Secondary
ADC,Agree Realty Corp,Real Estate & REITs,Real Estate - Retail & Consumer Real Estate,Primary
ADI,Analog Devices Inc,Semiconductors,"Semis - Analog, Mixed-Signal & Power Management",Primary
ADI,Analog Devices Inc,Hardware,Hardware - Industrial & IoT,Secondary
ADM,Archer-Daniels-Midland Co,Agriculture & FoodTech,Agriculture - Agri-Food Processing & Distribution,Primary
ADM,Archer-Daniels-Midland Co,Agriculture & FoodTech,Agriculture - Alternative Proteins,Secondary
ADP,"Automatic Data Processing, Inc.",Cloud Computing,Cloud - Horizontal SaaS & Cloud Applications,Primary
ADP,"Automatic Data Processing, Inc.",Business Services & Consulting,"Business Services - Outsourcing, Facilities & Testing",Secondary
ADSK,"Autodesk, Inc.",Industrial Automation & Robotics,Automation - Industrial Software & Digital Twin,Primary
ADSK,"Autodesk, Inc.",Software,Software - Vertical SaaS Platforms,Secondary
ADT,Adt Inc.,Smart Home & IoT,Smart Home - Automation & Control Systems,Primary
ADT,Adt Inc.,Smart Home & IoT,Smart Home - Connected Devices & Appliances,Secondary
ADTN,"Adtran Holdings, Inc.",Hardware,Hardware - Communications & Telecom,Primary
AEE,Ameren Corp,Energy - Traditional,Energy Base - Utilities & Conventional Power Operators,Primary
AEIS,Advanced Energy Industries Inc,Semiconductors,"Semis - Equipment, Lithography & Deposition",Primary
AEIS,Advanced Energy Industries Inc,Hardware,Hardware - Industrial & IoT,Secondary
AEM,Agnico Eagle Mines Ltd,Commodities - Metals,Comm Metals - Gold,Primary
AEM,Agnico Eagle Mines Ltd,Commodities - Metals,Comm Metals - Precious Metals,Secondary
AEP,American Electric Power Co Inc,Energy - Traditional,Energy Base - Utilities & Conventional Power Operators,Primary
AEP,American Electric Power Co Inc,Energy - Traditional,Energy Base - Coal & Thermal Power Generation,Secondary
AES,Aes Corp,Energy - Renewable,Energy Clean - Wind,Primary
AES,Aes Corp,Artificial Intelligence,"AI - Compute, Edge & Acceleration",Secondary
AEVA,"Aeva Technologies, Inc.",Industrial Automation & Robotics,"Robotics - Autonomous Vehicles, Service & Mobility",Primary
AFG,"American Financial Group, Inc.",Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary
AFL,Aflac Inc,Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary
AFRM,"Affirm Holdings, Inc.",FinTech & Digital Finance,FinTech - Digital Payments & Merchant Infrastructure,Primary
AG,First Majestic Silver Corp,Commodities - Metals,Comm Metals - Precious Metals,Primary
AGCO,Agco Corp /De,Agriculture & FoodTech,Agriculture - Precision Agriculture & Farm Automation,Primary
AGCO,Agco Corp /De,Industrial Automation & Robotics,"Robotics - Autonomous Vehicles, Service & Mobility",Secondary
AGRO,Adecoagro S.A.,Commodities - Agriculture,"Comm Agri - Grains, Oilseeds & Softs",Primary
AGRO,Adecoagro S.A.,Commodities - Agriculture,Comm Agri - Softs & Plantation Crops,Secondary
AHR,"American Healthcare REIT, Inc.",Real Estate & REITs,Real Estate - Healthcare & Senior Living,Primary
AI,"C3.Ai, Inc.",Big Data & Analytics,"Big Data - Analytics, AI Platforms & BI",Primary
AI,"C3.Ai, Inc.",Artificial Intelligence,"AI - Apps, Domain-Specific AI",Secondary
AIG,"American International Group, Inc.",Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary
AIOT,"Powerfleet, Inc.",Electric Vehicles & Mobility,EVs - Autonomous Driving & Fleet,Primary
AIT,"Applied Industrial Technologies, Inc.",Industrials & Construction,Industrials - Distribution & Rental Services,Primary
AIZ,"Assurant, Inc.",Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary
AJG,Arthur J. Gallagher & Co.,Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary
AKAM,Akamai Technologies Inc,Telecommunications,Telecom - Cloud & Edge Connectivity,Primary
AKAM,Akamai Technologies Inc,Cloud Computing,Cloud - Data Centers & Infrastructure,Secondary
ALB,Albemarle Corp,Energy - Renewable,Energy Clean - Materials & Critical Metals,Primary
ALB,Albemarle Corp,Commodities - Metals,Comm Metals - Battery & Energy Transition Metals,Secondary
ALGM,"Allegro Microsystems, Inc.",Semiconductors,"Semis - Analog, Mixed-Signal & Power Management",Primary
ALGM,"Allegro Microsystems, Inc.",Electric Vehicles & Mobility,EVs - Key Suppliers & Autonomy Tech,Secondary
ALGN,"Align Technology, Inc.",Healthcare & Biotech,Healthcare - Medical Devices & HealthTech Hardware,Primary
ALGT,Allegiant Travel Co,Transportation & Logistics,Transportation - Air Travel & Passenger Transportation,Primary
ALK,"Alaska Air Group, Inc.",Transportation & Logistics,Transportation - Air Travel & Passenger Transportation,Primary
ALL,Allstate Corp,Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary
ALLE,Allegion Plc,Smart Home & IoT,Smart Home - Automation & Control Systems,Primary
ALLE,Allegion Plc,Smart Home & IoT,"Smart Home - Connectivity, Security & Networking",Secondary
ALLY,Ally Financial Inc.,FinTech & Digital Finance,FinTech - Digital Banking & Neobanks,Primary
ALNY,"Alnylam Pharmaceuticals, Inc.",Healthcare & Biotech,Healthcare - Next-Gen Biotech Platforms,Primary
ALRM,"Alarm.Com Holdings, Inc.",Smart Home & IoT,Smart Home - Automation & Control Systems,Primary
ALRM,"Alarm.Com Holdings, Inc.",Smart Home & IoT,"Smart Home - Connectivity, Security & Networking",Secondary
ALT,"Altimmune, Inc.",Healthcare & Biotech,Healthcare - Metabolic & Cardiometabolic,Primary
ALV,"Autoliv, Inc.",Electric Vehicles & Mobility,EVs - Key Suppliers & Autonomy Tech,Primary
AM,Antero Midstream Corp,Energy - Traditional,Energy Base - Refining & Midstream Infrastructure,Primary
AM,Antero Midstream Corp,Commodities - Energy,Comm Energy - Natural Gas & LNG,Secondary
AMAT,Applied Materials Inc /De,Semiconductors,"Semis - Equipment, Lithography & Deposition",Primary
AMAT,Applied Materials Inc /De,Artificial Intelligence,"AI - Compute, Edge & Acceleration",Secondary
AMBA,Ambarella Inc,Industrial Automation & Robotics,Automation - Industrial Sensors & Machine Vision,Primary
AMBA,Ambarella Inc,Industrial Automation & Robotics,Robotics - Sensors & Vision Systems,Secondary
AMCR,Amcor Plc,Industrials & Construction,Industrials - Packaging & Containers,Primary
AMD,Advanced Micro Devices Inc,Semiconductors,Semis - Emerging Technologies,Primary
AMD,Advanced Micro Devices Inc,Semiconductors,"Semis - Logic & CPUs, GPUs, Accelerators",Secondary
AME,Ametek Inc/,Hardware,Hardware - Industrial & IoT,Primary
AME,Ametek Inc/,Industrial Automation & Robotics,Automation - Industrial Sensors & Machine Vision,Secondary
AMG,"Affiliated Managers Group, Inc.",Financials - Traditional,"Fin Trad - Asset Management, Custody & Alternatives",Primary
AMGN,Amgen Inc,Healthcare & Biotech,Healthcare - Metabolic & Cardiometabolic,Primary
AMGN,Amgen Inc,Healthcare & Biotech,Healthcare - Oncology & Precision Cancer Therapeutics,Secondary
AMH,American Homes 4 Rent,Real Estate & REITs,"Real Estate - Housing, Urban Living & Demographics",Primary
AMKR,"Amkor Technology, Inc.",Semiconductors,"Semis - Testing, Packaging & Assembly",Primary
AMP,"Ameriprise Financial, Inc.",Financials - Traditional,"Fin Trad - Asset Management, Custody & Alternatives",Primary
AMR,"Alpha Metallurgical Resources, Inc.",Energy - Traditional,Energy Base - Coal & Thermal Power Generation,Primary
AMSC,American Superconductor Corp /De/,Energy - Renewable,Energy Clean - Wind,Primary
AMT,American Tower Corp /Ma/,Telecommunications,Telecom - Infrastructure & Equipment,Primary
AMT,American Tower Corp /Ma/,Real Estate & REITs,Real Estate - Digital Infrastructure,Secondary
AMTX,"Aemetis, Inc",Commodities - Energy,Comm Energy - Biofuels & Renewable Fuels,Primary
AMTX,"Aemetis, Inc",Energy - Renewable,Energy Clean - Fuels & Bioenergy,Secondary
AMWL,American Well Corp,Healthcare & Biotech,"Healthcare - Digital Health, Telemedicine & Remote Care",Primary
AMZN,Amazon Com Inc,Cloud Computing,Cloud - Hyperscalers & Platforms,Primary
