Ticker,Company Name,Theme,Sub Theme,Setup,Market Cap,1W Price Change %,1M Price Change %,3M Price Change %,Pct vs 30W EMA,Weekly PPO Hist,Weekly Hist Improving,Daily PPO,Daily PPO Hist,Daily PPO Turning Up,RS 1M Change %,Vol Ratio 20/60,Down Day Capture
TSM,Taiwan Semiconductor Manufacturing Co Ltd,Semiconductors,"Semis - Logic & CPUs, GPUs, Accelerators",HIGH CONVICTION,2137216.385,0.0273,0.0281,-0.0155,9.15,-1.121,True,0.149,0.139,True,2.97,0.71,1.14
WFC,Wells Fargo & Co,Financials - Traditional,"Fin Trad - Banks, Lending & Mortgage Finance",HIGH CONVICTION,271237.6115,0.0378,0.0237,0.1501,7.21,0.801,True,0.734,0.467,True,2.52,0.86,-0.04
C,Citigroup Inc,Financials - Traditional,"Fin Trad - Banks, Lending & Mortgage Finance",HIGH CONVICTION,231167.5576,0.0363,0.0062,0.0653,8.18,-0.75,True,0.155,0.326,True,0.77,0.71,1.03
MRVL,"Marvell Technology, Inc.",Semiconductors,Semis - Emerging Technologies,HIGH CONVICTION,189986.1606,0.032,0.0227,-0.2587,19.81,-4.128,True,-0.21,-0.93,True,2.42,0.68,1.52
BE,Bloom Energy Corp,Energy - Renewable,Energy Clean - Hydrogen & Fuel Cells,HIGH CONVICTION,68735.3201,0.1997,0.1085,-0.1199,19.69,-3.875,True,0.627,2.002,True,11.02,0.76,1.08
F,Ford Motor Co,Electric Vehicles & Mobility,EVs - Manufacturers,HIGH CONVICTION,57441.3169,0.0533,0.0378,-0.0593,7.34,-0.179,True,0.322,0.371,True,3.93,0.82,2.39
UMC,United Microelectronics Corp,Semiconductors,"Semis - Logic & CPUs, GPUs, Accelerators",HIGH CONVICTION,49919.9222,0.0495,0.0068,-0.0133,22.1,-4.226,True,0.151,1.434,True,0.83,0.61,-2.99
PFG,"Principal Financial Group, Inc.",Financials - Traditional,"Fin Trad - Asset Management, Custody & Alternatives",HIGH CONVICTION,25407.7972,0.0553,0.0201,0.1618,13.04,-0.254,True,0.569,0.453,True,2.16,0.8,1.23
BBY,Best Buy Co Inc,E-commerce,"E-commerce - Omnichannel Retailers, Online & Physical Stores",HIGH CONVICTION,18490.5994,0.095,0.0454,0.2752,18.8,1.265,True,0.9,0.232,True,4.69,1.1,-0.29
BWA,Borgwarner Inc,Electric Vehicles & Mobility,EVs - Key Suppliers & Autonomy Tech,HIGH CONVICTION,13490.859,0.0566,0.0742,-0.1154,9.38,-1.232,True,-0.167,0.058,True,7.58,0.81,1.84
JEF,Jefferies Financial Group Inc.,Financials - Traditional,Fin Trad - Capital Markets & Investment Banking,HIGH CONVICTION,10842.8278,0.0403,-0.0013,0.0531,3.78,0.364,True,-0.458,0.379,True,0.02,0.79,1.44
AM,Antero Midstream Corp,Energy - Traditional,Energy Base - Refining & Midstream Infrastructure,HIGH CONVICTION,10722.8856,0.0139,0.0343,0.0736,5.71,-0.372,True,0.587,0.114,True,3.59,0.95,-0.09
AES,Aes Corp,Energy - Renewable,Energy Clean - Wind,HIGH CONVICTION,10561.4602,0.0041,0.0075,0.0175,2.6,-0.006,True,0.222,-0.006,True,0.9,0.96,-0.16
ALV,"Autoliv, Inc.",Electric Vehicles & Mobility,EVs - Key Suppliers & Autonomy Tech,HIGH CONVICTION,9084.3443,0.0256,0.0121,-0.0332,4.88,0.419,True,0.567,0.186,True,1.36,0.79,1.53
SLAB,Silicon Laboratories Inc.,Semiconductors,Semis - Wireless & Connectivity,HIGH CONVICTION,7349.5296,0.0093,0.01,0.0066,6.89,-1.295,True,0.238,0.096,True,1.15,0.82,0.01
BKH,Black Hills Corp,Energy - Traditional,Energy Base - Utilities & Conventional Power Operators,HIGH CONVICTION,5537.5037,0.0056,0.0231,0.0341,2.07,-0.493,True,-0.005,0.053,True,2.46,0.92,0.38
NWE,"Northwestern Energy Group, Inc.",Energy - Traditional,Energy Base - Utilities & Conventional Power Operators,HIGH CONVICTION,4323.7821,0.0065,0.0227,0.0429,2.89,-0.538,True,0.022,0.045,True,2.42,0.88,0.47
VKTX,"Viking Therapeutics, Inc.",Healthcare & Biotech,Healthcare - Metabolic & Cardiometabolic,HIGH CONVICTION,3976.6986,0.0843,0.0586,0.1889,4.75,-0.199,True,-0.492,0.391,True,6.02,0.75,0.94
UNIT,Uniti Group Inc.,Real Estate & REITs,Real Estate - Digital Infrastructure,HIGH CONVICTION,2417.5424,0.015,0.0119,-0.0944,2.24,-2.819,True,-0.629,0.551,True,1.34,0.67,2.24
WERN,Werner Enterprises Inc,Transportation & Logistics,"Transportation - Trucking, LTL & Ground Freight",HIGH CONVICTION,2268.0361,0.0422,0.0452,-0.0665,6.62,-1.916,True,-0.696,0.697,True,4.67,0.7,0.45
XIFR,"Xplr Infrastructure, Lp",Energy - Renewable,Energy Clean - Wind,HIGH CONVICTION,1131.6,0.0358,0.0297,-0.0122,7.08,-0.665,True,0.42,0.695,True,3.12,0.75,0.76
NVDA,Nvidia Corp,Semiconductors,Semis - Emerging Technologies,WATCHLIST,5503583.7809,0.0589,0.0869,0.0739,12.86,0.58,True,1.759,0.37,True,8.85,1.01,2.42
AAPL,Apple Inc.,Hardware,"Hardware - Consumer Electronics, PCs & Peripherals",WATCHLIST,4814191.1982,0.0008,0.0351,0.0322,8.24,-0.2,True,0.836,0.491,False,3.67,0.75,-0.19
LLY,Eli Lilly & Co,Healthcare & Biotech,Healthcare - Metabolic & Cardiometabolic,WATCHLIST,1027624.9272,-0.0215,0.0317,0.067,5.23,-0.355,False,-0.614,-0.807,False,3.32,0.92,0.48
JPM,JPMorgan Chase & Co.,Financials - Traditional,"Fin Trad - Banks, Lending & Mortgage Finance",WATCHLIST,960508.9853,0.0029,0.0031,0.1975,9.33,0.78,False,0.603,-0.161,True,0.46,0.7,0.22
ABBV,Abbvie Inc.,Healthcare & Biotech,Healthcare - Oncology & Precision Cancer Therapeutics,WATCHLIST,460590.4814,0.0038,0.0519,0.1895,9.11,0.708,False,0.931,-0.243,False,5.35,0.68,-0.35
BAC,Bank Of America Corp,Financials - Traditional,"Fin Trad - Banks, Lending & Mortgage Finance",WATCHLIST,440752.9308,0.0109,0.0016,0.2085,10.49,0.702,False,0.353,-0.178,True,0.31,0.93,0.04
KO,Coca Cola Co,Consumer Goods & Retail,"Consumer - Health, Food & Beverages",WATCHLIST,382518.1,-0.0177,0.0174,0.1254,8.31,0.45,False,0.851,-0.479,False,1.9,0.87,-0.1
MS,Morgan Stanley,Financials - Traditional,Fin Trad - Capital Markets & Investment Banking,WATCHLIST,341040.6277,0.0137,0.0031,0.0418,9.11,-0.604,False,0.049,0.083,True,0.46,0.71,1.2
DELL,Dell Technologies Inc.,Hardware,"Hardware - Consumer Electronics, PCs & Peripherals",WATCHLIST,330336.7639,0.1488,0.1217,0.2468,53.79,-1.536,True,3.445,1.058,True,12.34,1.19,4.11
NVO,Novo Nordisk A S,Healthcare & Biotech,Healthcare - Metabolic & Cardiometabolic,WATCHLIST,206988.1979,0.0217,0.0658,0.1237,1.78,0.374,False,-0.249,0.186,True,6.74,0.92,0.99
APH,Amphenol Corp /De/,Hardware,Hardware - Communications & Telecom,WATCHLIST,198374.7031,0.0496,-0.0337,0.1232,10.37,0.115,True,0.293,0.195,True,-3.22,0.79,1.32
WELL,Welltower Inc.,Healthcare & Biotech,Healthcare - Senior Care & Longevity,WATCHLIST,174634.238,-0.008,0.0237,0.1877,7.7,-0.105,False,0.505,-0.078,False,2.52,0.87,0.18
IBKR,"Interactive Brokers Group, Inc.",FinTech & Digital Finance,FinTech - Trading Platforms & WealthTech,WATCHLIST,157338.8452,-0.0327,0.046,0.0637,9.75,-0.465,False,0.587,-0.271,False,4.75,0.88,2.51
PGR,Progressive Corp,Financials - Traditional,Fin Trad - Insurance & Reinsurance,WATCHLIST,130178.0316,0.0014,0.0389,0.1323,3.47,0.484,False,0.929,0.181,False,4.04,0.77,-0.41
SNOW,Snowflake Inc.,Cloud Computing,Cloud - Hyperscalers & Platforms,WATCHLIST,126997.7088,0.028,0.0644,0.3975,34.4,3.556,False,3.071,-0.403,True,6.6,1.07,3.47
SBUX,Starbucks Corp,Consumer Goods & Retail,Consumer - Restaurants & Dining,WATCHLIST,120840.0036,-0.0313,0.001,0.0957,4.08,-0.231,False,0.315,-0.292,False,0.24,0.8,1.14
MDT,Medtronic Plc,Industrial Automation & Robotics,Robotics - Medical & Surgical Robotics,WATCHLIST,118167.8305,0.0322,0.0925,0.219,8.5,2.227,True,1.911,-0.167,True,9.41,1.05,-0.5
BP,Bp Plc,Energy - Traditional,Energy Base - Integrated Energy Majors,WATCHLIST,113163.2722,0.0394,0.045,0.0153,6.89,0.056,True,1.037,-0.045,True,4.65,1.03,-2.2
