Theme,Sub Theme,Constituents,Theme Cap ($M),CapWtd 1W %,EqWtd 1W %,CapWtd 1M %,EqWtd 1M %,CapWtd 3M %,EqWtd 3M %,Breadth 1W %,Coverage %,Top3 Weight %,Effective N,Top Name,Distortion pp,Mega Cap Distorted,Down Day Capture,Vol Ratio 20/60,Pct Above 30W EMA,Acceleration pp,Signal,Below Min Constituents
Crypto & Blockchain,Blockchain - Cryptocurrency Mining & Staking,8,48855.3,18.62,14.84,-2.58,-4.62,-31.06,-29.54,100.0,100.0,69.3,5.0,IREN,3.78,True,2.52,0.94,37.5,19.22,MIXED / CONSOLIDATING,False
Agriculture & FoodTech,Agriculture - Precision Agriculture & Farm Automation,12,166416.2,10.15,6.51,12.88,9.47,17.83,7.14,75.0,100.0,85.9,2.1,DE,3.64,True,-2.67,1.19,58.3,7.15,MATURE LEADERSHIP,False
Electric Vehicles & Mobility,EVs - Charging & Infrastructure,6,2609.9,9.4,17.39,2.25,12.27,7.87,0.62,83.3,100.0,93.2,2.0,VNT,-7.99,True,2.42,0.99,33.3,8.88,MIXED / CONSOLIDATING,False
Semiconductors,Semis - Memory & Storage,5,987300.7,8.63,5.98,10.6,1.29,-7.8,-18.34,80.0,100.0,89.9,2.1,MU,2.65,True,-0.27,0.69,80.0,6.16,MIXED / CONSOLIDATING,False
Artificial Intelligence,"AI - Apps, Domain-Specific AI",12,657775.0,6.44,-0.03,4.52,-0.45,-1.43,-9.91,41.7,100.0,98.0,1.1,META,6.47,True,1.11,0.88,50.0,5.39,MIXED / CONSOLIDATING,False
Agriculture & FoodTech,Agriculture - Agricultural Inputs & Crop Science,8,78233.7,6.42,6.21,14.57,11.0,14.21,10.39,87.5,100.0,90.7,3.1,CTVA,0.21,False,-2.41,1.03,62.5,3.03,MATURE LEADERSHIP,False
Commodities - Agriculture,"Comm Agri - Fertilizers, Crop Inputs & Seeds",6,54541.9,5.97,6.91,13.21,12.0,13.7,11.15,83.3,100.0,86.7,3.4,CTVA,-0.94,False,-2.22,1.02,66.7,2.9,MATURE LEADERSHIP,False
Hardware,Hardware - Printing & Imaging,5,1363.0,5.69,5.23,1.04,0.95,-1.42,-1.79,100.0,100.0,68.7,4.6,XRX,0.46,False,1.87,0.81,80.0,5.45,EARLY ROTATION,False
FinTech & Digital Finance,"FinTech - Crypto, Blockchain & Tokenization",6,102555.6,5.63,7.37,20.69,8.91,11.45,-3.92,83.3,100.0,91.0,3.6,MSTR,-1.74,True,1.94,1.12,66.7,0.82,MATURE LEADERSHIP,False
Digital Entertainment & Media,Entertainment - Advertising & Social Platforms,15,1113314.0,5.57,0.15,3.0,-3.99,-2.1,3.06,57.1,93.3,91.4,1.4,META,5.42,True,1.12,0.86,57.1,4.87,MIXED / CONSOLIDATING,False
Semiconductors,Semis - Emerging Technologies,21,4245504.3,5.47,1.98,5.48,-7.46,2.17,-24.73,61.9,100.0,95.1,1.6,NVDA,3.49,True,2.35,0.94,42.9,4.2,MIXED / CONSOLIDATING,False
Artificial Intelligence,"AI - Compute, Edge & Acceleration",10,865158.2,5.43,3.25,2.56,-6.43,-8.47,-18.0,80.0,100.0,82.4,3.2,MU,2.18,True,0.57,0.66,60.0,4.83,MIXED / CONSOLIDATING,False
Hardware,Hardware - Data Center Infrastructure & Servers,17,623928.7,5.14,3.85,0.32,-3.49,-7.42,-13.86,76.5,100.0,52.8,7.7,IBM,1.29,False,2.64,0.82,70.6,5.07,EARLY ROTATION,False
Commodities - Energy,Comm Energy - Biofuels & Renewable Fuels,8,53026.6,5.06,4.9,18.8,9.78,37.24,8.64,62.5,100.0,98.2,1.5,VLO,0.16,False,-1.32,1.0,50.0,0.69,MATURE LEADERSHIP,False
Telecommunications,Telecom - Satellite & Space Communication,6,54195.0,4.72,4.91,-5.74,-8.4,-23.12,-11.02,100.0,100.0,86.4,3.1,ECHO,-0.19,False,3.09,0.47,66.7,6.05,MIXED / CONSOLIDATING,False
Energy - Renewable,Energy Clean - Fuels & Bioenergy,8,7339.3,4.52,4.92,11.36,6.11,13.81,2.99,62.5,100.0,91.4,2.5,DAR,-0.4,False,-1.76,1.13,50.0,1.88,MIXED / CONSOLIDATING,False
Electric Vehicles & Mobility,EVs - Key Suppliers & Autonomy Tech,13,71785.1,4.51,3.85,1.04,-1.51,-7.62,-15.36,92.3,100.0,56.5,7.0,MGA,0.66,False,1.79,0.81,53.8,4.27,EARLY ROTATION,False
Energy - Traditional,Energy Base - Nuclear Power & Advanced Reactors,10,359505.2,4.0,2.92,-1.04,1.37,-0.93,-10.53,88.9,90.0,78.6,3.9,GEV,1.08,False,2.38,0.81,11.1,4.24,EARLY ROTATION,False
Commodities - Agriculture,"Comm Agri - Grains, Oilseeds & Softs",6,13227.6,3.37,4.02,9.06,4.03,-7.73,-1.12,83.3,100.0,88.0,2.0,BG,-0.65,False,-2.06,0.94,83.3,1.26,MIXED / CONSOLIDATING,False
Commodities - Metals,Comm Metals - Recycling & Circular Materials,5,47776.9,3.36,3.9,-4.36,1.74,-3.2,-8.04,100.0,100.0,93.2,2.8,NUE,-0.54,False,1.6,0.92,60.0,4.37,EARLY ROTATION,False
Nanotechnology,NanoTech - Nanomedicine & Drug Delivery,10,87120.1,3.31,0.17,45.37,29.08,72.94,41.88,70.0,100.0,77.5,4.0,REGN,3.14,True,1.94,1.35,90.0,-7.24,MATURE LEADERSHIP,False
Healthcare & Biotech,Healthcare - Next-Gen Biotech Platforms,16,278743.6,3.22,1.08,28.85,19.02,42.77,33.03,62.5,100.0,51.7,8.0,VRTX,2.14,True,1.26,1.16,81.2,-3.49,MATURE LEADERSHIP,False
Semiconductors,"Semis - Logic & CPUs, GPUs, Accelerators",10,6185139.9,3.14,3.33,1.1,-3.18,-4.72,-19.16,90.0,100.0,86.3,3.6,NVDA,-0.19,False,1.76,0.85,70.0,2.88,EARLY ROTATION,False
Space Tech,"Space - Infrastructure, Exploration & Launch",9,26911.1,2.89,1.97,-7.17,-5.76,-27.88,-30.61,75.0,88.9,68.9,4.7,ASTS,0.92,False,4.5,0.65,37.5,4.56,MIXED / CONSOLIDATING,False
Commodities - Energy,Comm Energy - Crude Oil,8,265657.4,2.8,2.14,10.3,7.41,11.37,6.83,87.5,100.0,58.6,6.4,COP,0.66,False,-1.8,1.01,87.5,0.4,MIXED / CONSOLIDATING,False
Energy - Renewable,Energy Clean - Hydrogen & Fuel Cells,8,319685.2,2.78,2.67,0.54,-6.12,-6.2,-22.65,37.5,100.0,84.6,3.5,LIN,0.11,False,0.88,0.8,25.0,2.65,FAILED ROTATION,False
Cloud Computing,Cloud - Data Centers & Infrastructure,12,237820.5,2.39,1.07,-3.6,-7.32,-8.23,-14.93,50.0,100.0,52.1,7.2,DLR,1.32,False,2.11,0.75,58.3,3.23,MIXED / CONSOLIDATING,False
