Theme,Constituents,Theme Cap ($M),CapWtd 1W %,EqWtd 1W %,CapWtd 1M %,EqWtd 1M %,CapWtd 3M %,EqWtd 3M %,Breadth 1W %,Coverage %,Top3 Weight %,Effective N,Top Name,Distortion pp,Mega Cap Distorted,Down Day Capture,Vol Ratio 20/60,Pct Above 30W EMA,Acceleration pp,Signal
Agriculture & FoodTech,36,399648.3,5.24,2.31,8.47,2.84,12.03,4.11,58.3,100.0,48.1,8.2,DE,2.93,True,-1.7,1.04,50.0,3.27,MIXED / CONSOLIDATING
Semiconductors,65,14081725.2,3.64,2.13,1.4,-6.46,-5.17,-19.9,71.9,98.5,66.1,5.0,NVDA,1.51,True,1.82,0.84,50.0,3.31,MIXED / CONSOLIDATING
Energy - Traditional,98,4286353.6,1.93,1.03,4.91,5.15,5.96,3.06,73.2,99.0,31.5,20.3,XOM,0.9,False,-0.77,0.95,63.9,0.79,EARLY ROTATION
Commodities - Energy,52,762047.5,1.89,1.56,8.18,5.63,10.22,2.39,68.0,96.2,22.6,22.9,COP,0.33,False,-0.91,0.96,64.0,-0.01,MIXED / CONSOLIDATING
Digital Entertainment & Media,47,2116110.5,1.81,-1.01,4.3,-2.97,-0.49,0.28,35.6,95.7,69.6,4.2,META,2.82,True,1.01,0.84,48.9,0.81,FAILED ROTATION
Electric Vehicles & Mobility,41,1198247.9,1.5,2.56,6.36,-3.11,-13.81,-18.63,58.5,100.0,85.4,1.7,TSLA,-1.06,False,2.87,0.87,31.7,0.02,MIXED / CONSOLIDATING
Hardware,75,8030428.0,1.01,1.03,1.78,-3.74,0.78,-8.73,58.1,98.7,69.4,2.7,AAPL,-0.02,False,0.64,0.79,58.1,0.6,MIXED / CONSOLIDATING
Smart Home & IoT,28,351765.3,0.88,0.6,-2.04,-5.5,0.34,-2.85,53.6,100.0,51.3,8.6,TMUS,0.28,False,1.33,0.81,53.6,1.35,MIXED / CONSOLIDATING
Artificial Intelligence,30,4138249.7,0.79,0.85,-5.48,-3.54,-6.2,-8.03,56.7,100.0,86.4,2.5,GOOGL,-0.06,False,0.87,0.74,53.3,2.06,MIXED / CONSOLIDATING
Crypto & Blockchain,17,725578.4,0.77,8.61,4.06,3.65,17.76,-4.28,70.6,100.0,77.4,4.0,V,-7.84,True,0.5,0.89,64.7,-0.17,MATURE LEADERSHIP
Energy - Renewable,68,2246364.8,0.63,1.36,1.5,-3.88,-7.74,-16.61,52.9,100.0,39.1,10.3,TSLA,-0.73,False,1.65,0.87,33.8,0.28,MIXED / CONSOLIDATING
Financials - Traditional,112,5193326.7,0.48,0.47,-0.31,-1.25,14.88,14.55,68.2,98.2,26.2,25.4,JPM,0.01,False,0.84,0.82,88.2,0.55,MIXED / CONSOLIDATING
Commodities - Agriculture,23,178191.0,0.44,1.92,2.95,2.68,5.2,4.06,59.1,95.7,41.4,10.7,HSY,-1.48,False,-0.61,0.95,50.0,-0.25,MIXED / CONSOLIDATING
