Ticker,Company Name,Theme,Sub Theme,Assignment,Market Cap,1W Price Change %,1M Price Change %,3M Price Change %,Sub Market Cap
A,"Agilent Technologies, Inc.",Nanotechnology,NanoTech - Research Tools & Advanced Instruments,Primary,43333.5296,0.0335,0.1072,0.3372,43333.5296
AA,Alcoa Corp,Commodities - Metals,Comm Metals - Industrial & Base Metals,Primary,13034.4868,-0.0449,0.1186,-0.3067,13034.4868
AAL,American Airlines Group Inc.,Transportation & Logistics,Transportation - Air Travel & Passenger Transportation,Primary,9022.6504,-0.0554,-0.0587,-0.0159,9022.6504
AAON,"AAON, Inc.",Industrials & Construction,Industrials - Building Products & HVAC,Primary,6274.7218,-0.1361,-0.2588,-0.4342,3764.8331
AAON,"AAON, Inc.",Cloud Computing,Cloud - Data Centers & Infrastructure,Secondary,6274.7218,-0.1361,-0.2588,-0.4342,2509.8887
AAPL,Apple Inc.,Hardware,"Hardware - Consumer Electronics, PCs & Peripherals",Primary,4529157.8327,0.0155,-0.0673,0.0058,2717494.6996
AAPL,Apple Inc.,Hardware,Hardware - Next-Gen & Specialty,Secondary,4529157.8327,0.0155,-0.0673,0.0058,1811663.1331
ABAT,American Battery Technology Co,Commodities - Metals,Comm Metals - Recycling & Circular Materials,Primary,327.3946,-0.0123,0.086,-0.257,196.4368
ABAT,American Battery Technology Co,Electric Vehicles & Mobility,EVs - Batteries & Materials,Secondary,327.3946,-0.0123,0.086,-0.257,130.9578
ABBV,Abbvie Inc.,Healthcare & Biotech,Healthcare - Oncology & Precision Cancer Therapeutics,Primary,467437.8465,0.0567,0.0199,0.2351,467437.8465
ABNB,"Airbnb, Inc.",Consumer Goods & Retail,Consumer - Resale & Sharing Platforms,Primary,113895.0226,0.0609,0.3481,0.4372,113895.0226
ABT,Abbott Laboratories,Healthcare & Biotech,"Healthcare - Digital Health, Telemedicine & Remote Care",Primary,201883.8282,0.0571,0.1321,0.3443,121130.2969
ABT,Abbott Laboratories,Healthcare & Biotech,Healthcare - Medical Devices & HealthTech Hardware,Secondary,201883.8282,0.0571,0.1321,0.3443,80753.5313
ACA,"Arcosa, Inc.",Industrials & Construction,Industrials - Construction Materials & Aggregates,Primary,7133.7462,0.0018,0.0019,0.2035,4280.2477
ACA,"Arcosa, Inc.",Energy - Renewable,Energy Clean - Wind,Secondary,7133.7462,0.0018,0.0019,0.2035,2853.4985
ACGL,Arch Capital Group Ltd.,Financials - Traditional,Fin Trad - Insurance & Reinsurance,Primary,34511.913,0.034,-0.0215,0.0503,34511.913
ACHR,Archer Aviation Inc.,Transportation & Logistics,Transportation - Air Travel & Passenger Transportation,Primary,4674.0628,-0.0501,0.2725,-0.0456,4674.0628
ACI,"Albertsons Companies, Inc.",E-commerce,E-commerce - Grocery & Local Commerce Platforms,Primary,6119.957,0.0336,0.1432,-0.2104,3671.9742
