Ticker,Company Name,Theme,Sub Theme,Assignment,Market Cap,1W Price Change %,1M Price Change %,3M Price Change %,Sub Market Cap,Last Bar Date,Stale,Return Status,Pct vs 30W EMA,Above 30W EMA,30W EMA Rising,Weekly PPO,Weekly PPO Hist,Weekly Hist Improving,Daily PPO,Daily PPO Hist,Daily PPO Near Zero,Daily PPO Turning Up,Daily PPO Above Signal,RS 1M Change %,RS Improving,Vol Ratio 20/60,Down Day Capture,Down Day Green Rate %,Data As Of
A,"Agilent Technologies, Inc.",Nanotechnology,NanoTech - Research Tools & Advanced Instruments,Primary,42204.6433,-0.0194,0.0838,0.1001,42204.6433,2026-09-04,False,ok,11.75,True,True,5.185,2.064,False,1.855,-0.758,False,False,False,8.54,True,1.13,1.9,25.0,2026-09-04
AA,Alcoa Corp,Commodities - Metals,Comm Metals - Industrial & Base Metals,Primary,13509.5235,-0.007,0.0691,-0.3808,13509.5235,2026-09-04,False,ok,-7.7,False,False,-4.341,-2.071,True,0.584,0.019,True,False,True,7.07,True,0.83,2.35,25.0,2026-09-04
AAL,American Airlines Group Inc.,Transportation & Logistics,Transportation - Air Travel & Passenger Transportation,Primary,8648.6364,-0.0374,-0.2071,-0.0324,8648.6364,2026-09-04,False,ok,-7.57,False,False,1.55,-1.949,False,-4.171,-0.506,False,True,False,-20.6,False,0.5,3.51,12.5,2026-09-04
AAON,"AAON, Inc.",Industrials & Construction,Industrials - Building Products & HVAC,Primary,6267.3014,0.0479,-0.168,-0.4634,3760.3808,2026-09-04,False,ok,-20.57,False,False,-5.266,-5.593,True,-6.591,0.789,False,True,True,-16.67,False,0.93,3.24,37.5,2026-09-04
AAON,"AAON, Inc.",Cloud Computing,Cloud - Data Centers & Infrastructure,Secondary,6267.3014,0.0479,-0.168,-0.4634,2506.9206,2026-09-04,False,ok,-20.57,False,False,-5.266,-5.593,True,-6.591,0.789,False,True,True,-16.67,False,0.93,3.24,37.5,2026-09-04
AAPL,Apple Inc.,Hardware,"Hardware - Consumer Electronics, PCs & Peripherals",Primary,4814191.1982,0.0008,0.0351,0.0322,2888514.7189,2026-09-04,False,ok,8.24,True,True,4.137,-0.2,True,0.836,0.491,True,False,True,3.67,True,0.75,-0.19,50.0,2026-09-04
AAPL,Apple Inc.,Hardware,Hardware - Next-Gen & Specialty,Secondary,4814191.1982,0.0008,0.0351,0.0322,1925676.4793,2026-09-04,False,ok,8.24,True,True,4.137,-0.2,True,0.836,0.491,True,False,True,3.67,True,0.75,-0.19,50.0,2026-09-04
ABAT,American Battery Technology Co,Commodities - Metals,Comm Metals - Recycling & Circular Materials,Primary,373.0934,0.0817,0.1983,-0.232,223.856,2026-09-04,False,ok,-5.85,False,False,-8.293,0.25,True,2.647,1.357,False,True,True,20.0,True,0.85,4.12,25.0,2026-09-04
ABAT,American Battery Technology Co,Electric Vehicles & Mobility,EVs - Batteries & Materials,Secondary,373.0934,0.0817,0.1983,-0.232,149.2374,2026-09-04,False,ok,-5.85,False,False,-8.293,0.25,True,2.647,1.357,False,True,True,20.0,True,0.85,4.12,25.0,2026-09-04
ABBV,Abbvie Inc.,Healthcare & Biotech,Healthcare - Oncology & Precision Cancer Therapeutics,Primary,460590.4814,0.0038,0.0519,0.1895,460590.4814,2026-09-04,False,ok,9.11,True,True,4.738,0.708,False,0.931,-0.243,True,False,False,5.35,True,0.68,-0.35,50.0,2026-09-04
